price,location,detail
180 000AZN,Nizami r.,3 otaqlı80 m²4/9 mərtəbə
149 000AZN,Neftçilər m.,2 otaqlı70 m²10/14 mərtəbə
280 500AZN,Sabunçu r.,2 otaqlı75 m²4/6 mərtəbə
147 000AZN,Yeni Günəşli q.,3 otaqlı75 m²6/10 mərtəbə
125 000AZN,Bakıxanov q.,2 otaqlı50 m²1/5 mərtəbə
122 000AZN,Qara Qarayev m.,2 otaqlı45 m²1/17 mərtəbə
219 500AZN,Həzi Aslanov m.,3 otaqlı105 m²10/17 mərtəbə
520 000AZN,Elmlər Akademiyası m.,3 otaqlı155 m²11/20 mərtəbə
189 500AZN,Nərimanov r.,3 otaqlı90 m²8/9 mərtəbə
165 000AZN,Qara Qarayev m.,2 otaqlı70 m²2/17 mərtəbə
209 000AZN,Nərimanov r.,3 otaqlı90 m²8/9 mərtəbə
230 000AZN,Qara Qarayev m.,3 otaqlı94 m²3/17 mərtəbə
235 000AZN,Həzi Aslanov m.,3 otaqlı87 m²9/19 mərtəbə
245 000AZN,Biləcəri q.,3 otaqlı122 m²2/7 mərtəbə
224 000AZN,Qara Qarayev m.,2 otaqlı91 m²11/16 mərtəbə
130 000AZN,İnşaatçılar m.,2 otaqlı101 m²15/17 mərtəbə
209 000AZN,8-ci mikrorayon q.,3 otaqlı80 m²8/9 mərtəbə
392 000AZN,Ağ şəhər q.,2 otaqlı74.1 m²5/5 mərtəbə
134 000AZN,Əhmədli m.,2 otaqlı62 m²17/18 mərtəbə
480 000AZN,Nəsimi r.,3 otaqlı138 m²5/16 mərtəbə
175 000AZN,Neftçilər m.,2 otaqlı85 m²10/11 mərtəbə
290 000AZN,Qara Qarayev m.,3 otaqlı130 m²15/17 mərtəbə
155 000AZN,Bakıxanov q.,2 otaqlı103 m²14/19 mərtəbə
350 000AZN,Şah İsmayıl Xətai m.,3 otaqlı140 m²15/16 mərtəbə
169 000AZN,8-ci mikrorayon q.,2 otaqlı65 m²6/9 mərtəbə
255 000AZN,Səbail r.,3 otaqlı120 m²6/16 mərtəbə
205 000AZN,Xalqlar Dostluğu m.,4 otaqlı100 m²5/9 mərtəbə
209 000AZN,Nərimanov r.,3 otaqlı90 m²8/9 mərtəbə
235 000AZN,Nəriman Nərimanov m.,2 otaqlı84.3 m²10/18 mərtəbə
143 000AZN,Həzi Aslanov m.,2 otaqlı57 m²12/19 mərtəbə
142 500AZN,8-ci kilometr q.,2 otaqlı56 m²13/19 mərtəbə
117 000AZN,Elmlər Akademiyası m.,2 otaqlı35 m²2/5 mərtəbə
185 000AZN,Neftçilər m.,3 otaqlı85 m²8/9 mərtəbə
230 000AZN,Əhmədli m.,5 otaqlı120 m²5/9 mərtəbə
194 000AZN,Xətai r.,2 otaqlı82 m²10/19 mərtəbə
175 000AZN,Həzi Aslanov m.,3 otaqlı85 m²8/9 mərtəbə
155 000AZN,Neftçilər m.,2 otaqlı70 m²19/19 mərtəbə
98 000AZN,Abşeron r.,3 otaqlı100 m²12/13 mərtəbə
279 000AZN,İnşaatçılar m.,3 otaqlı100 m²7/16 mərtəbə
255 000AZN,İnşaatçılar m.,3 otaqlı111 m²8/18 mərtəbə
200 000AZN,Nəriman Nərimanov m.,1 otaqlı62 m²11/17 mərtəbə
110 000AZN,9-cu mikrorayon q.,1 otaqlı42 m²3/9 mərtəbə
122 000AZN,İnşaatçılar m.,2 otaqlı48 m²16/18 mərtəbə
140 000AZN,İnşaatçılar m.,1 otaqlı46 m²9/16 mərtəbə
162 000AZN,Abşeron r.,3 otaqlı100 m²12/12 mərtəbə
258 000AZN,Memar Əcəmi m.,3 otaqlı90 m²8/14 mərtəbə
137 000AZN,20 Yanvar m.,2 otaqlı49 m²5/18 mərtəbə
340 000AZN,Nəriman Nərimanov m.,3 otaqlı86 m²7/16 mərtəbə
500 000AZN,Nəriman Nərimanov m.,3 otaqlı153.8 m²15/17 mərtəbə
203 000AZN,20 Yanvar m.,3 otaqlı86 m²16/20 mərtəbə
39 800AZN,Masazır q.,1 otaqlı54 m²6/6 mərtəbə
153 000AZN,Həzi Aslanov m.,2 otaqlı57 m²13/17 mərtəbə
726 000AZN,Nizami m.,4 otaqlı220 m²10/16 mərtəbə
263 865AZN,Azadlıq Prospekti m.,3 otaqlı107.7 m²7/13 mərtəbə
290 000AZN,20 Yanvar m.,3 otaqlı145 m²15/18 mərtəbə
66 500AZN,Masazır q.,3 otaqlı51 m²2/6 mərtəbə
93 000AZN,Masazır q.,2 otaqlı60 m²8/8 mərtəbə
338 000AZN,Nəsimi r.,3 otaqlı130 m²17/18 mərtəbə
120 000AZN,Həzi Aslanov m.,3 otaqlı77.6 m²11/16 mərtəbə
94 500AZN,Günəşli q.,2 otaqlı44 m²14/16 mərtəbə
168 000AZN,İnşaatçılar m.,3 otaqlı85 m²6/9 mərtəbə
170 000AZN,Şah İsmayıl Xətai m.,2 otaqlı68 m²4/18 mərtəbə
480 000AZN,Nəsimi r.,5 otaqlı265 m²6/17 mərtəbə
225 000AZN,Nizami m.,2 otaqlı90 m²9/9 mərtəbə
146 000AZN,Badamdar q.,2 otaqlı49 m²2/14 mərtəbə
495 000AZN,Nəsimi r.,4 otaqlı200 m²13/14 mərtəbə
349 000AZN,28 May m.,3 otaqlı109 m²8/15 mərtəbə
113 000AZN,Yeni Günəşli q.,2 otaqlı58 m²17/18 mərtəbə
179 000AZN,20 Yanvar m.,3 otaqlı61 m²4/20 mərtəbə
129 000AZN,Əhmədli q.,2 otaqlı56 m²4/16 mərtəbə
169 000AZN,Əhmədli m.,3 otaqlı80 m²14/20 mərtəbə
178 000AZN,8 Noyabr m.,2 otaqlı65 m²8/17 mərtəbə
165 000AZN,Nəriman Nərimanov m.,2 otaqlı74 m²3/19 mərtəbə
153 500AZN,Əhmədli m.,3 otaqlı80 m²7/9 mərtəbə
320 000AZN,Memar Əcəmi m.,3 otaqlı140 m²4/18 mərtəbə
199 000AZN,Azadlıq Prospekti m.,2 otaqlı82 m²13/17 mərtəbə
160 000AZN,Memar Əcəmi m.,2 otaqlı70 m²7/9 mərtəbə
270 000AZN,Nəsimi r.,3 otaqlı128 m²13/16 mərtəbə
117 000AZN,Bakıxanov q.,3 otaqlı75 m²18/20 mərtəbə
155 000AZN,Gənclik m.,2 otaqlı42 m²5/9 mərtəbə
109 000AZN,Memar Əcəmi m.,2 otaqlı50 m²8/9 mərtəbə
250 000AZN,Nərimanov r.,3 otaqlı97 m²15/17 mərtəbə
137 000AZN,20 Yanvar m.,2 otaqlı48 m²11/20 mərtəbə
100 000AZN,Azadlıq Prospekti m.,3 otaqlı126 m²3/17 mərtəbə
250 000AZN,28 May m.,3 otaqlı110 m²1/5 mərtəbə
267 000AZN,Nəsimi r.,3 otaqlı85 m²2/14 mərtəbə
240 000AZN,İnşaatçılar m.,3 otaqlı95 m²8/16 mərtəbə
273 000AZN,Nəsimi r.,3 otaqlı128 m²13/16 mərtəbə
680 000AZN,Ağ şəhər q.,4 otaqlı145 m²2/7 mərtəbə
110 000AZN,Elmlər Akademiyası m.,2 otaqlı56 m²2/2 mərtəbə
370 000AZN,28 May m.,3 otaqlı107 m²5/20 mərtəbə
175 000AZN,Nəsimi r.,2 otaqlı55 m²4/20 mərtəbə
245 000AZN,Şah İsmayıl Xətai m.,3 otaqlı85 m²2/17 mərtəbə
175 000AZN,Nərimanov r.,2 otaqlı70 m²5/16 mərtəbə
169 000AZN,Şah İsmayıl Xətai m.,1 otaqlı60 m²12/16 mərtəbə
140 000AZN,Bakıxanov q.,2 otaqlı70 m²8/9 mərtəbə
290 000AZN,Koroğlu m.,3 otaqlı128 m²10/17 mərtəbə
210 000AZN,Xalqlar Dostluğu m.,3 otaqlı115 m²9/14 mərtəbə
197 000AZN,İnşaatçılar m.,3 otaqlı117 m²14/18 mərtəbə
82 000AZN,Məmmədli q.,2 otaqlı60 m²2/10 mərtəbə
220 000AZN,Nərimanov r.,2 otaqlı70 m²10/17 mərtəbə
270 000AZN,Nərimanov r.,2 otaqlı84 m²8/14 mərtəbə
214 130AZN,20 Yanvar m.,3 otaqlı112.7 m²1/16 mərtəbə
215 506AZN,20 Yanvar m.,2 otaqlı77.8 m²2/20 mərtəbə
115 000AZN,Qaraçuxur q.,2 otaqlı55 m²7/9 mərtəbə
249 000AZN,28 May m.,2 otaqlı75 m²14/15 mərtəbə
749 000AZN,Elmlər Akademiyası m.,4 otaqlı230 m²16/18 mərtəbə
195 000AZN,İçəri Şəhər m.,2 otaqlı55 m²5/5 mərtəbə
298 000AZN,Ağ şəhər q.,2 otaqlı67.3 m²3/18 mərtəbə
638 000AZN,Sahil m.,3 otaqlı168 m²4/8 mərtəbə
580 000AZN,Nizami m.,4 otaqlı204 m²17/22 mərtəbə
295 774AZN,Nardaran q.,1 otaqlı49.7 m²3/4 mərtəbə
162 000AZN,Həzi Aslanov m.,3 otaqlı88 m²5/9 mərtəbə
70 000AZN,Binəqədi q.,2 otaqlı65 m²3/16 mərtəbə
358 000AZN,Nəsimi r.,3 otaqlı130 m²9/17 mərtəbə
227 000AZN,Əhmədli m.,5 otaqlı120 m²3/9 mərtəbə
585 000AZN,Nizami m.,4 otaqlı230 m²12/16 mərtəbə
208 000AZN,Neftçilər m.,3 otaqlı95 m²13/15 mərtəbə
269 000AZN,Nərimanov r.,2 otaqlı65 m²10/17 mərtəbə
170 000AZN,Şah İsmayıl Xətai m.,2 otaqlı55 m²5/18 mərtəbə
185 000AZN,Zığ q.,3 otaqlı120 m²10/11 mərtəbə
495 000AZN,Nəsimi r.,4 otaqlı200 m²13/15 mərtəbə
250 000AZN,Şah İsmayıl Xətai m.,2 otaqlı68 m²14/16 mərtəbə
180 000AZN,İnşaatçılar m.,2 otaqlı72 m²17/17 mərtəbə
130 000AZN,Bakıxanov q.,2 otaqlı60 m²4/9 mərtəbə
265 000AZN,Nərimanov r.,2 otaqlı82 m²14/17 mərtəbə
107 000AZN,Qara Qarayev m.,2 otaqlı35 m²11/17 mərtəbə
140 000AZN,7-ci mikrorayon q.,2 otaqlı47 m²8/10 mərtəbə
87 000AZN,Hövsan q.,2 otaqlı52 m²2/9 mərtəbə
126 500AZN,Bakıxanov q.,2 otaqlı83 m²2/19 mərtəbə
289 000AZN,Nizami m.,3 otaqlı112 m²6/15 mərtəbə
685 000AZN,Ağ şəhər q.,4 otaqlı155 m²2/7 mərtəbə
289 000AZN,İnşaatçılar m.,2 otaqlı90 m²7/19 mərtəbə
179 500AZN,Xətai r.,2 otaqlı100 m²10/17 mərtəbə
550 000AZN,Şah İsmayıl Xətai m.,3 otaqlı100 m²3/7 mərtəbə
102 000AZN,Abşeron r.,2 otaqlı65 m²11/16 mərtəbə
432 000AZN,Koroğlu m.,4 otaqlı172.8 m²16/16 mərtəbə
269 999AZN,Şah İsmayıl Xətai m.,2 otaqlı82 m²12/17 mərtəbə
276 000AZN,Nəriman Nərimanov m.,3 otaqlı79 m²7/16 mərtəbə
480 000AZN,Nəsimi r.,5 otaqlı265 m²6/16 mərtəbə
300 000AZN,İnşaatçılar m.,3 otaqlı120 m²9/14 mərtəbə
324 000AZN,Şah İsmayıl Xətai m.,3 otaqlı135 m²9/17 mərtəbə
182 000AZN,Bayıl q.,5 otaqlı120 m²6/7 mərtəbə
510 000AZN,28 May m.,4 otaqlı187.6 m²7/17 mərtəbə
181 000AZN,Əhmədli m.,3 otaqlı80 m²4/9 mərtəbə
165 000AZN,Nərimanov r.,2 otaqlı54 m²7/16 mərtəbə
172 000AZN,Neftçilər m.,3 otaqlı94 m²11/16 mərtəbə
678 000AZN,28 May m.,4 otaqlı242 m²12/17 mərtəbə
299 999AZN,Nərimanov r.,3 otaqlı140 m²16/18 mərtəbə
220 000AZN,Nərimanov r.,2 otaqlı55 m²8/16 mərtəbə
329 000AZN,Əhmədli q.,3 otaqlı126 m²15/19 mərtəbə
200 000AZN,Nərimanov r.,2 otaqlı87 m²4/12 mərtəbə
106 500AZN,Memar Əcəmi m.,1 otaqlı32 m²5/5 mərtəbə
85 000AZN,Mehdiabad q.,3 otaqlı56 m²1/4 mərtəbə
153 000AZN,İnşaatçılar m.,2 otaqlı64 m²6/17 mərtəbə
152 000AZN,İnşaatçılar m.,3 otaqlı64 m²6/17 mərtəbə
162 000AZN,Əhmədli m.,3 otaqlı80 m²3/9 mərtəbə
395 000AZN,Ağ şəhər q.,2 otaqlı74.1 m²5/5 mərtəbə
125 000AZN,Masazır q.,3 otaqlı120 m²5/6 mərtəbə
266 000AZN,Elmlər Akademiyası m.,2 otaqlı86 m²3/17 mərtəbə
59 000AZN,Azadlıq Prospekti m.,1 otaqlı20 m²4/5 mərtəbə
390 000AZN,Nardaran q.,3 otaqlı117.5 m²1/6 mərtəbə
370 000AZN,28 May m.,2 otaqlı107.6 m²5/15 mərtəbə
288 000AZN,Elmlər Akademiyası m.,3 otaqlı100 m²7/15 mərtəbə
58 000AZN,Hövsan q.,1 otaqlı44 m²3/9 mərtəbə
153 000AZN,Əhmədli m.,3 otaqlı80 m²5/18 mərtəbə
96 000AZN,Hövsan q.,3 otaqlı77 m²10/12 mərtəbə
295 000AZN,Şah İsmayıl Xətai m.,4 otaqlı110 m²5/16 mərtəbə
170 000AZN,Əhmədli m.,3 otaqlı85 m²4/16 mərtəbə
255 000AZN,Memar Əcəmi m.,2 otaqlı97 m²9/17 mərtəbə
625 000AZN,Nizami m.,4 otaqlı180 m²19/24 mərtəbə
665 000AZN,Nizami m.,4 otaqlı190 m²19/24 mərtəbə
930 000AZN,İçəri Şəhər m.,5 otaqlı274 m²7/12 mərtəbə
600 000AZN,Şah İsmayıl Xətai m.,5 otaqlı225 m²8/19 mərtəbə
76 000AZN,Masazır q.,2 otaqlı60 m²5/6 mərtəbə
1 350 000AZN,Səbail r.,4 otaqlı240 m²7/22 mərtəbə
158 000AZN,Həzi Aslanov m.,2 otaqlı65 m²8/13 mərtəbə
795 000AZN,Nəsimi r.,5 otaqlı289 m²20/24 mərtəbə
167 000AZN,Nərimanov r.,2 otaqlı55 m²4/17 mərtəbə
450 000AZN,Sahil m.,3 otaqlı100 m²4/5 mərtəbə
490 000AZN,Nəsimi r.,4 otaqlı179 m²21/24 mərtəbə
210 000AZN,Bayıl q.,1 otaqlı70 m²6/12 mərtəbə
340 000AZN,Şah İsmayıl Xətai m.,3 otaqlı139 m²4/19 mərtəbə
115 000AZN,Bakıxanov q.,2 otaqlı68 m²18/20 mərtəbə
354 800AZN,28 May m.,3 otaqlı160 m²9/12 mərtəbə
220 000AZN,Şah İsmayıl Xətai m.,3 otaqlı110 m²10/18 mərtəbə
289 000AZN,İnşaatçılar m.,2 otaqlı90 m²7/19 mərtəbə
242 000AZN,Memar Əcəmi m.,3 otaqlı110 m²4/11 mərtəbə
176 500AZN,Dərnəgül m.,2 otaqlı70 m²8/12 mərtəbə
315 500AZN,8 Noyabr m.,3 otaqlı176 m²9/16 mərtəbə
168 500AZN,Nəsimi r.,2 otaqlı53 m²9/18 mərtəbə
250 000AZN,Həzi Aslanov m.,3 otaqlı100 m²12/16 mərtəbə
263 865AZN,Azadlıq Prospekti m.,3 otaqlı107.7 m²7/13 mərtəbə
205 000AZN,Əhmədli m.,3 otaqlı80 m²8/9 mərtəbə
240 000AZN,28 May m.,3 otaqlı162 m²3/16 mərtəbə
105 000AZN,Masazır q.,2 otaqlı71 m²5/9 mərtəbə
159 000AZN,Nizami m.,2 otaqlı54 m²5/14 mərtəbə
234 000AZN,Nəsimi r.,2 otaqlı68 m²14/18 mərtəbə
640 000AZN,Şah İsmayıl Xətai m.,4 otaqlı189 m²11/16 mərtəbə
155 000AZN,28 May m.,2 otaqlı60 m²5/5 mərtəbə
192 000AZN,28 May m.,2 otaqlı58 m²3/14 mərtəbə
190 000AZN,Yasamal r.,2 otaqlı110 m²12/21 mərtəbə
310 000AZN,Nərimanov r.,2 otaqlı118.5 m²13/17 mərtəbə
172 000AZN,Həzi Aslanov m.,2 otaqlı90 m²11/19 mərtəbə
450 000AZN,Azadlıq Prospekti m.,5 otaqlı220 m²5/12 mərtəbə
297 000AZN,Badamdar q.,3 otaqlı135 m²8/17 mərtəbə
174 900AZN,Xətai r.,3 otaqlı87 m²2/16 mərtəbə
175 000AZN,Nəsimi m.,3 otaqlı80 m²5/9 mərtəbə
500 000AZN,Nəriman Nərimanov m.,3 otaqlı127.4 m²4/17 mərtəbə
295 000AZN,Səbail r.,2 otaqlı66 m²7/16 mərtəbə
240 000AZN,İnşaatçılar m.,3 otaqlı95 m²8/16 mərtəbə
207 500AZN,Dərnəgül m.,3 otaqlı87 m²8/9 mərtəbə
378 000AZN,Ağ şəhər q.,3 otaqlı86 m²6/6 mərtəbə
276 000AZN,Nizami m.,3 otaqlı131 m²13/16 mərtəbə
413 000AZN,Ağ şəhər q.,3 otaqlı110 m²7/8 mərtəbə
483 000AZN,Ağ şəhər q.,3 otaqlı139 m²3/8 mərtəbə
170 000AZN,Gənclik m.,2 otaqlı60 m²8/9 mərtəbə
560 000AZN,İçəri Şəhər m.,3 otaqlı162 m²4/17 mərtəbə
250 000AZN,İnşaatçılar m.,3 otaqlı132 m²17/19 mərtəbə
94 000AZN,Zığ q.,2 otaqlı52 m²9/11 mərtəbə
92 000AZN,Əhmədli q.,1 otaqlı50 m²2/10 mərtəbə
191 000AZN,İnşaatçılar m.,2 otaqlı56.3 m²9/14 mərtəbə
212 000AZN,Qaradağ r.,3 otaqlı136.6 m²14/14 mərtəbə
185 000AZN,Azadlıq Prospekti m.,3 otaqlı80 m²5/5 mərtəbə
214 000AZN,28 May m.,2 otaqlı69 m²10/16 mərtəbə
117 000AZN,Hövsan q.,3 otaqlı85 m²10/10 mərtəbə
245 000AZN,9-cu mikrorayon q.,4 otaqlı90 m²6/9 mərtəbə
325 000AZN,Şah İsmayıl Xətai m.,3 otaqlı85 m²7/7 mərtəbə
202 000AZN,Həzi Aslanov m.,4 otaqlı104 m²2/16 mərtəbə
85 000AZN,Həzi Aslanov m.,1 otaqlı41 m²8/14 mərtəbə
650 000AZN,Gənclik m.,4 otaqlı183.5 m²3/18 mərtəbə
349 000AZN,28 May m.,3 otaqlı108 m²8/15 mərtəbə
370 000AZN,Şah İsmayıl Xətai m.,3 otaqlı90 m²10/20 mərtəbə
268 000AZN,Şah İsmayıl Xətai m.,3 otaqlı98 m²4/16 mərtəbə
200 000AZN,Nəsimi r.,2 otaqlı56 m²10/17 mərtəbə
260 000AZN,Şah İsmayıl Xətai m.,3 otaqlı94 m²8/16 mərtəbə
920 000AZN,Şah İsmayıl Xətai m.,5 otaqlı360 m²4/6 mərtəbə
520 000AZN,Şah İsmayıl Xətai m.,3 otaqlı114 m²7/15 mərtəbə
830 000AZN,Gənclik m.,4 otaqlı215 m²4/11 mərtəbə
165 000AZN,9-cu mikrorayon q.,3 otaqlı70 m²13/18 mərtəbə
99 000AZN,Xalqlar Dostluğu m.,2 otaqlı60 m²5/5 mərtəbə
185 000AZN,Nizami r.,3 otaqlı120 m²14/19 mərtəbə
400 000AZN,Sahil m.,3 otaqlı120 m²1/3 mərtəbə
695 000AZN,Elmlər Akademiyası m.,4 otaqlı213 m²10/21 mərtəbə
459 000AZN,Şah İsmayıl Xətai m.,3 otaqlı170 m²10/20 mərtəbə
531 000AZN,Nəriman Nərimanov m.,4 otaqlı171 m²11/17 mərtəbə
500 000AZN,Şah İsmayıl Xətai m.,3 otaqlı140 m²5/6 mərtəbə
248 000AZN,Şah İsmayıl Xətai m.,3 otaqlı105 m²11/13 mərtəbə
335 000AZN,Nəriman Nərimanov m.,4 otaqlı130 m²4/8 mərtəbə
790 000AZN,Şah İsmayıl Xətai m.,5 otaqlı227 m²15/16 mərtəbə
350 000AZN,Nəriman Nərimanov m.,3 otaqlı96 m²2/8 mərtəbə
779 100AZN,Nizami m.,4 otaqlı259.7 m²3/15 mərtəbə
169 000AZN,Şah İsmayıl Xətai m.,1 otaqlı61 m²11/17 mərtəbə
830 000AZN,8 Noyabr m.,4 otaqlı209 m²26/27 mərtəbə
154 000AZN,Xətai r.,2 otaqlı52 m²14/19 mərtəbə
123 000AZN,Xətai r.,2 otaqlı61 m²6/9 mərtəbə
149 000AZN,Xətai r.,2 otaqlı52 m²6/19 mərtəbə
152 000AZN,Xətai r.,2 otaqlı52 m²12/19 mərtəbə
95 000AZN,Bakıxanov q.,2 otaqlı50 m²1/3 mərtəbə
335 000AZN,Gənclik m.,2 otaqlı94.5 m²15/17 mərtəbə
450 000AZN,Nəriman Nərimanov m.,3 otaqlı150 m²10/18 mərtəbə
358 000AZN,Nəsimi r.,3 otaqlı126 m²9/16 mərtəbə
140 000AZN,Həzi Aslanov q.,2 otaqlı65 m²5/9 mərtəbə
160 000AZN,Nəsimi m.,2 otaqlı60 m²8/18 mərtəbə
581 400AZN,Şah İsmayıl Xətai m.,4 otaqlı171 m²4/8 mərtəbə
